word,translation,tag
a  charge,指控,cedict
a  couple,夫妇,cedict
a  date,日子,cedict
a  fit,拟合,cedict
a  man,男儿,cedict
a  pill or tablet,药片,cedict
a  situation,地步,cedict
a  tuber,块茎,cedict
a bacterial pathogen,病原菌,cedict
a bad chap,鼠辈,cedict
a bad move,臭子儿,cedict
a balance arm,秤杆,cedict
a ballot,抽签,cedict
a bamboo carriage,竹舆,cedict
a bamboo or wicker scoop,畚箕,cedict
a ban on logging,禁伐,cedict
a bar,条形,cedict
a bargain,便宜货,cedict
a barrage of fire,排射,cedict
a basket,提篮,cedict
a bawd,鸨母,cedict
a bean-counter,斗筲之人,cedict
a beautiful day,花朝月夕,cedict
a beautiful person,玉人,cedict
a beautiful woman,红颜,cedict
a beauty,佳丽,cedict
a beauty in the bud,美人坯子,cedict
a bed,卧铺,cedict
a believer,信神者,cedict
a belly laugh,大笑,cedict
a belly-laugh,欢笑,cedict
a bend in a stream,汀曲,cedict
a benefactor,恩人,cedict
a best-seller,抢手货,cedict
a bier,灵棺,cedict
a big  party,觥筹交错,cedict
a big hit,红不让,cedict
a big wok,大锅,cedict
a bill,账册,cedict
a bird-watcher,看鸟人,cedict
a bit,几分,cedict
a bit bigger,大一些,cedict
a bit chilly,冷丝丝,cedict
a bit earlier,早些,cedict
a bit of everything,杂七杂八,cedict
a bit off,不是味儿,cedict
a bit on the side,另觅新欢,cedict
a bit too,稍嫌,cedict
a bite,一口,cedict
a bitter laugh,苦笑,cedict
a blab-mouth,烂舌头,cedict
a blacklist of undesirables,另册,cedict
a blast furnace,鼓风炉,cedict
a blessing,福气,cedict
a blessing in disguise,因祸得福,cedict
a blight,疫病,cedict
a blind,卷帘,cedict
a blind alley,钻牛角,cedict
a block,块体,cedict
a body,质量块,cedict
a bolt from the blue,青天霹雳,cedict
a bond,胶接,cedict
a bonus issue,发行红利股,cedict
a book,册子,cedict
a book already in circulation,成书,cedict
a book on chinese  medicine,本草,cedict
a bookkeeping entry,提列,cedict
a boom,吊杆,cedict
a borehole,钻井,cedict
a botcher,二把刀,cedict
a bottleneck,束狭,cedict
a brake,刹车,cedict
a brave person,勇士,cedict
a break,间断,cedict
a breakthrough,爆冷,cedict
a breath of fresh air,一股清流,cedict
a bribe,贿赂,cedict
a bridgehead,桥头,cedict
a bridle path,驮运路,cedict
a brief explanation,略释,cedict
a brief history,简史,cedict
a bright color,亮彩,cedict
a bright spark,朝气蓬勃,cedict
a broad outline,大略,cedict
a bruise,皮外伤,cedict
a buddhist,释家,cedict
a buddhist image,雕塑,cedict
a buddhist temple,禅林,cedict
a budding beauty,豆蔻,cedict
a building,屋架,cedict
a built-in wardrobe or cupboard,壁橱,cedict
a bunch of nonsense,一派胡言,cedict
a bundle wrapped in cloth,包袱,cedict
a burn,灼伤,cedict
a burst,一阵,cedict
a business,商号,cedict
a cache,秘藏,cedict
a cadence,抑扬,cedict
a caged bird,笼鸟,cedict
a calling,使命,cedict
a can,听头,cedict
a cappella,无伴奏合唱,cedict
a capstan,卷扬机,cedict
a captive,俘虏,cedict
a card game,牌戏,cedict
a careless person,马大哈,cedict
a carpet for kneeling,跪毯,cedict
a carved inscription,铭刻,cedict
a carved printing block,雕版,cedict
a case to treat separately,另案,cedict
a cashier,账房,cedict
a casting,铸件,cedict
a castrate,阉人,cedict
a catafalque,灵棺,cedict
a cause for gossip,口实,cedict
a cave,洞窟,cedict
a ceiling fan,吊扇,cedict
a celebrity,红人,cedict
a censer,香炉,cedict
a ceramic teapot,卤壶,cedict
a certain matter,某事,cedict
a certain number or amount,若干,cedict
a certain person,某人,cedict
a certainty,左券,cedict
a changeover of personnel,瓜代,cedict
a chaotic mess,一团乱糟,cedict
a cheap choice,白拣,cedict
a cheat,骗子,cedict
a cheating couple,狗男女,cedict
a chemical weapon,毒剂,cedict
a child's play,小儿科,cedict
a choke,节流,cedict
a christian,基督教徒,cedict
a cicada in cold weather,寒蝉,cedict
a citizen's duty,公民义务,cedict
a city state,城邦,cedict
a city wall,城郭,cedict
a civet,灵猫类,cedict
a clamor,噪杂,cedict
a clear and boundless sky,晴空万里,cedict
a clear blue sky,碧空,cedict
a climatologist,气候学家,cedict
a clique of traitors,奸党,cedict
a close shot,近景,cedict
a cloth,布巾,cedict
a cloud,云朵,cedict
a cluster,连缀,cedict
a coal bed,煤层,cedict
a coal seam,煤层,cedict
a coalfield,煤田,cedict
a cobbler,修鞋匠,cedict
a coconut,椰子,cedict
a coconut palm,椰子,cedict
a cofferdam,围堰,cedict
a coffin,灵棺,cedict
a cold reception,冷遇,cedict
a collection,一套,cedict
a collection of books,丛书,cedict
a collection of choice items,集锦,cedict
a collector,收藏家,cedict
a coloring book,着色书,cedict
a combination of punches,组合拳,cedict
a comedy,喜剧,cedict
a command,将令,cedict
a commercial,广告,cedict
a common bed,统铺,cedict
a common occurrence,司空见惯,cedict
a common origin,同源,cedict
a commonplace thing,筐箧中物,cedict
a company of pilgrims,香会,cedict
a compilation,集录,cedict
a complete mess,一锅粥,cedict
a composition in verse,诗篇,cedict
a compromise,妥协,cedict
a concession,让步,cedict
a concrete plan,具体计划,cedict
a condolence visit,吊孝,cedict
a confucian scholar,儒士,cedict
a confused noise,鼎沸,cedict
a conjunction,关联词,cedict
a connection,关系户,cedict
a connective,关联词,cedict
a conservative,套中人,cedict
a conspicuous effect,显效,cedict
a conspirator,同谋,cedict
a constant,常数,cedict
a contemporary,流辈,cedict
a continued tradition,传承,cedict
a contribution,供献,cedict
a control,控件,cedict
a controversy,疑案,cedict
a convention,成例,cedict
a convert,皈依者,cedict
a coordinate frame,标架,cedict
a copy of a film,影片,cedict
a cork,软木塞,cedict
a correction,批改,cedict
a corrosive,腐蚀剂,cedict
a corrupt official,污吏,cedict
a corrupting influence,熏染,cedict
a couch,卧榻,cedict
a couchette,卧铺,cedict
a countercurrent,逆流,cedict
a counteroffensive,反攻,cedict
a couple of times,两下子,cedict
a cover-up,隐饰,cedict
